datetime,depth,depth_anom_all
2002-08-06,149.0,-42.78872620790631
2002-08-07,149.0,-42.78872620790631
2002-08-08,140.0,-51.78872620790631
2002-08-09,138.0,-53.78872620790631
2002-08-10,138.0,-53.78872620790631
2002-08-11,138.0,-53.78872620790631
2002-08-12,140.0,-51.78872620790631
2002-08-13,141.0,-50.78872620790631
2002-08-14,142.0,-49.78872620790631
2002-08-15,143.0,-48.78872620790631
2002-08-16,145.0,-46.78872620790631
2002-08-17,147.0,-44.78872620790631
2002-08-18,147.0,-44.78872620790631
2002-08-19,148.0,-43.78872620790631
2002-08-20,150.0,-41.78872620790631
2002-08-21,150.0,-41.78872620790631
2002-08-22,149.0,-42.78872620790631
2002-08-23,149.0,-42.78872620790631
2002-08-24,149.0,-42.78872620790631
2002-08-25,147.0,-44.78872620790631
2002-08-26,145.0,-46.78872620790631
2002-08-27,144.0,-47.78872620790631
2002-08-28,144.0,-47.78872620790631
2002-08-29,145.0,-46.78872620790631
2002-08-30,146.0,-45.78872620790631
2002-08-31,147.0,-44.78872620790631
2002-09-01,148.0,-43.78872620790631
2002-09-02,150.0,-41.78872620790631
2002-09-03,149.0,-42.78872620790631
2002-09-04,151.0,-40.78872620790631
2002-09-05,151.0,-40.78872620790631
2002-09-06,152.0,-39.78872620790631
2002-09-07,153.0,-38.78872620790631
2002-09-08,153.0,-38.78872620790631
2002-09-09,154.0,-37.78872620790631
2002-09-10,155.0,-36.78872620790631
2002-09-11,156.0,-35.78872620790631
2002-09-12,156.0,-35.78872620790631
2002-09-13,157.0,-34.78872620790631
2002-09-14,157.0,-34.78872620790631
2002-09-15,158.0,-33.78872620790631
2002-09-16,158.0,-33.78872620790631
2002-09-17,159.0,-32.78872620790631
2002-09-18,159.0,-32.78872620790631
2002-09-19,159.0,-32.78872620790631
2002-09-20,160.0,-31.788726207906308
2002-09-21,161.0,-30.788726207906308
2002-09-22,161.0,-30.788726207906308
2002-09-23,162.0,-29.788726207906308
2002-09-24,162.0,-29.788726207906308
2002-09-25,162.0,-29.788726207906308
2002-09-26,163.0,-28.788726207906308
2002-09-27,164.0,-27.788726207906308
2002-09-28,165.0,-26.788726207906308
2002-09-29,165.0,-26.788726207906308
2002-09-30,166.0,-25.788726207906308
2002-10-01,166.0,-25.788726207906308
2002-10-02,166.0,-25.788726207906308
2002-10-03,167.0,-24.788726207906308
2002-10-04,167.0,-24.788726207906308
2002-10-05,167.0,-24.788726207906308
2002-10-06,167.0,-24.788726207906308
2002-10-07,168.0,-23.788726207906308
2002-10-08,168.0,-23.788726207906308
2002-10-09,168.0,-23.788726207906308
2002-10-10,169.0,-22.788726207906308
2002-10-11,169.0,-22.788726207906308
2002-10-12,170.0,-21.788726207906308
2002-10-13,170.0,-21.788726207906308
2002-10-14,170.0,-21.788726207906308
2002-10-15,171.0,-20.788726207906308
2002-10-16,171.0,-20.788726207906308
2002-10-17,172.0,-19.788726207906308
2002-10-18,172.0,-19.788726207906308
2002-10-19,173.0,-18.788726207906308
2002-10-20,173.0,-18.788726207906308
2002-10-21,171.0,-20.788726207906308
2002-10-22,172.0,-19.788726207906308
2002-10-23,173.0,-18.788726207906308
2002-10-24,173.0,-18.788726207906308
2002-10-25,171.0,-20.788726207906308
2002-10-26,172.0,-19.788726207906308
2002-10-27,169.0,-22.788726207906308
2002-10-28,169.0,-22.788726207906308
2002-10-29,166.0,-25.788726207906308
2002-10-30,165.0,-26.788726207906308
2002-10-31,164.0,-27.788726207906308
2002-11-01,163.0,-28.788726207906308
2002-11-02,162.0,-29.788726207906308
2002-11-03,161.0,-30.788726207906308
2002-11-04,161.0,-30.788726207906308
2002-11-05,160.0,-31.788726207906308
2002-11-06,159.0,-32.78872620790631
2002-11-07,157.0,-34.78872620790631
